STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
17150,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17150.00,8998,-15998,-64.00224035845736,109954,83.55,0.05,-0.45,-90.0,0,238550,0,0.0,169000,0.05,19979.15
17200,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17200.00,6,0,0.0,6,0.0,2670.0,303.0,12.801013941698352,5000,5000,1750,2592.0,500,2822.25,19979.15
17200,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17200.00,12439,-15001,-54.66836734693877,124963,82.05,0.05,-0.5,-90.9090909090909,0,139250,0,0.0,82200,0.05,19979.15
17250,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17250.00,20,0,0.0,0,0.0,0.0,0.0,0.0,4500,4500,1750,2536.6,1000,2784.1,19979.15
17250,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17250.00,2540,687,37.07501349163519,18025,80.56,0.05,-0.45,-90.0,0,55650,0,0.0,7500,0.05,19979.15
17300,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17300.00,35,-2,-5.405405405405405,3,0.0,2644.0,268.4499999999998,11.30054092736418,4500,4500,1750,2465.0,1000,2772.3,19979.15
17300,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17300.00,5208,-1613,-23.64755900894297,29722,83.03,0.1,-0.6,-85.71428571428572,0,56700,0,0.0,300,0.05,19979.15
17350,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17350.00,39,8,25.806451612903224,26,0.0,2540.0,90.0,3.673469387755103,4500,4900,1750,2441.55,400,2678.8,19979.15
17350,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17350.00,2920,1307,81.0291382517049,15024,77.58,0.05,-0.5,-90.9090909090909,0,63300,0,0.0,12950,0.05,19979.15
17400,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17400.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4500,4500,1750,2414.35,1000,2660.4,19979.15
